icd,Latin
B56,African trypanosomiasis
G61,Guillain-Barre syndrome
D33,Pallister-Hall SYNDROME
M48,ankylosing hyperostosis
I87,postthrombotic syndrome
F60,obsessional personality
Q75,Craniofacial Dysostosis
B39,American Histoplasmosis
G63,Diabetic polyneuropathy
F34,cyclothymic personality
B67,echinococcus granulosus
D76,Naevoxanthoendothelioma
Q87,OCULOAURICULAR SYNDROME
Q74,HUMERORADIAL SYNOSTOSIS
Q74,radiohumeral synostosis
M53,Cervicocranial syndrome
C71,Monstrocellular sARCOMA
H35,Age Related Maculopathy
C54,Leiomyosarcoma - uterus
H18,Fleck Corneal Dystrophy
G11,Dysequilibrium syndrome
G71,Myofibrillar Myopathies
L40,Palmoplantar Pustulosis
C94,megakaryocytic leukemia
C94,Megakaryocytic myelosis
E06,De Quervain Thyroiditis
G00,Pneumococcal mENINGITIS
Q75,Maxillonasal dysostosis
Q82,FOCAL dermal hypoplasia
C26,gastrointestinal cancer
G71,Alpha-sarcoglycanopathy
A05,staphyloenterotoxicosis
H16,lagophthalmic keratitis
G71,mitochondrial cytopathy
E51,cardiovascular beriberi
E71,ketotic hyperglycinemia
M31,polymorphic reticulosis
B48,cutaneous BLASTOMYCOSIS
M34,Scleredema Diabeticorum
M30,Allergic Granulomatoses
M30,Allergic Granulomatosis
M30,"Syndrome, Churg-Strauss"
L13,Pustulosis subcornealis
D23,papillary Syringadenoma
B37,Candidal vulvovaginitis
B37,Monilial vulvovaginitis
Q80,Ichthyosis congenita 2B
M22,chondromalacia patellae
A79,vesicular rickettsiosis
G83,Hemiparaplegic syndrome
K03,Cementation hyperplasia
H35,VÃ¤sterbotten dystrophy
Q75,preaxial acrodysostosis
E80,Crigler Najjar syndrome
E78,Lipoid dermatoarthritis
D76,Lipoid dermatoarthritis
I40,"Septic MYOCARDITIS, NOS"
A85,Encephalitis Lethargica
P61,Polycythemia neonatorum
C88,Mediterraneanl lymphoma
G71,Amish nemaline myopathy
Q89,situs inversus viscerum
M31,Wegeners granulomatosis
D76,Hemophagocytic syndrome
M75,Subacromial impingement
H66,Suppurative Otitis med.
E23,adiposogenital syndrome
D75,cutaneous myelofibrosis
D47,cutaneous myelofibrosis
E75,sphingomyelin LIPIDOSIS
F52,Psychologic dyspareunia
D89,Cryoimmunoglobulinaemia
G51,Cheilitis Granulomatosa
H35,Retrolental Fibroplasia
B36,Keratomycosis nigricans
Q74,Humerospinal dysostosis
K06,hypertrophic gINGIVITIS
A83,California Encephalitis
Q78,osteogenesis imperfecta
E78,hypobetalipoproteinemia
Q74,cleidocranial dYSPLASIA
N28,pyeloureteritis cystica
H35,vitreoretinal dystrophy
B39,American Histoplasmosis
G63,diabetic polyneuropathy
Q87,oculoauricular syndrome
Q74,humeroradial synostosis
G11,dysequilibrium syndrome
K29,granulomatous GASTRITIS
N80,cutaneous endometriosis
G00,pneumococcal mENINGITIS
C49,pleomorphic liposarcoma
G31,frontotemporal dementia
M22,chondromalacia patellae
R80,orthostatic proteinuria
A18,tuberculous salpingitis
F52,Psychologic dyspareunia
E80,porphyria cutanea tarda
Q77,thanatophoric dYSPLASIA
E51,Wernicke encephalopathy
E70,oculocutaneous albinism
K00,amelogenesis imperfecta
A18,tuberculous peritonitis
C92,myeloid leukemia anguli
C92,"LEUKAEMIA, myeloid ARGUTUS"
C92,"myeloid leukemia, acutae"
M30,aliquot infantes simul Polyarteritis
L90,prima diffuse ATROPHIA
N46,masculum infecunditate elementum
F93,anxietatem socialis inordinatio
F40,anxietatem socialis inordinatio
G61,"Syndrome, Piscator Miller"
G61,"Syndrome, Miller, Piscator"
Q61,vellum medullare renibus spongiam incubuisse
J30,cavitatis nasi mucosaitis
M94,systemica chondromalacia
E06,Hashimoto thyroiditis scriptor
G12,Atrophia muscularis spinalis
Q04,Roberts syndrome-Norman
F52,libidinem inhibuit
H49,Nervus Abducens inordinatio
H49,Nervus Abducens infirmitatem
I95,"pornographia, intolerantia orhtostatic"
H02,Lagophthalmos (inventum)
G91,"hydrocephalus, X coniunctum"
A42,actinomycotic infectio
A42,"Infectiones, Actinomyces"
E06,pus movendum thyroiditis
H52,oculi Refractionis inordinatio
C22,de cancer duct
I85,Acuti corpore sanguinis profluit variceal
N19,renibus munus reducitur
C16,Neoplasma malignum Ventriculus
E75,defectus melibiase
Q87,"Virchow Seckel dwarfism,"
Q87,"Virchow Seckel syndrome,"
K83,Biliary tractu infectio
D12,Iuvenalibus Colon Coli
J86,Cum nulla ibi fistula empyema
C43,"Neoplasma malignum cutis,"
C43,"malignum cutis, tumore"
B74,elephantiasin propensum palpebrae
C21,Neoplasma malignum Anal
C21,Neoplasma malignum ano est
C21,Humana malignas et tumor anus
E10,Iuvenalibus-CONREPTIO diabete
C67,Tumor Morbositates vesicae Malignant
I40,myocardial inflammatione
I40,myocardium inflammatione
I51,myocardial inflammatione
I51,myocardium inflammatione
A93,American montem febricitantem
Q42,ani atresia (inordinatio)
K22,oesophageale dysmotility
B40,Blastomycotic infectio
A69,Fusobacterium falciparum
G56,Medianus entrapment
N91,absentia menstruis
D72,Eosinophil erexit numerare
M65,de Quervain stenosing scriptor
E88,X syndrome dysmetabolic
A28,"Cattus VULNUS morbo, CSD"
A28,"Debré Mollaret syndrome,"
M71,Bursitis NOS (inordinatio)
D32,intracraniale meningioma
D32,tumor uvas arteriae meningeae mediae
D32,prima Meningeal tumore
H49,Qui mortem ophthalmoplegia
H83,fossa superiore syndrome
D17,benignum lipomatosum tumore
D17,isque LAETUS TEXTUS
G25,essential tremor benignae
G61,acutus inf. polyneuritis
H53,color defectus vision
D69,von Willebrand inordinatio
D68,von Willebrand inordinatio
E71,Fidelis Bronze morbo Schilder
G37,Fidelis Bronze morbo Schilder
O15,Eclampsia in discrimine puerperium
O15,ECLAMPSIA et partus
D33,Aula syndrome Pallister
H40,N late angulus GLAUCOMA
E75,Krabbe leukodystrophy scriptor
E34,testium feminization
J61,Pneumoconiosis asbesto
A75,Densovirinae [endemicae] Bacillus subtilis subsp
A75,Bacillus subtilis subsp febrem (inordinatio)
E54,Defectus Vitaminum C
G11,"Boder Segwyk syndrome,"
K56,Volvulus NOS (inordinatio)
F84,disintegrative inordinatio
M70,Capped cubiti (inordinatio)
Q38,"Solum ore funderet,"
J01,Sinussphenoidalis -acute
E04,"Nódulo-thyreoideo absumtum, non tox"
E04,Simplex non-toxicus tumidum guttur
L04,nodi lympha inflammatione
I88,nodi lympha inflammatione
E79,"Defectus Oprt et Soto,"
C46,palate Herpesvirus scriptor SARCOMA
E83,"Hemochromatosis, type III"
E72,II Dibasic aminoaciduria
A96,Lassa hemorrhagic febricitantem
E79,Defectus Ump Synthase
G98,nervosi inordinatio
G00,nervosi inordinatio
P37,Toxoplasmose - congen.
I78,Capillaria rimis fatiscere syndrome
M30,"Fed KC <ssmaul Maier morbo,"
M30,"KÃ¼ssmaul Maier morbo,"
A59,"Infectiones, Trichomitus"
P72,neonati thyrotoxicosis
Q93,Index deletionum Index 22q11 Domini High Definition
C69,cancer of vascularis opticus
C69,Humana malignas tumor Choroid
L74,De morbo sudore glandulis
L74,in sudore glandulae inordinatio
H47,turbatis tractusopticus
H47,Tractus visus inordinatio
G60,REFSUM morbum ATTICUS
E77,Fucosidase A-defectus
H44,prima autem oculus hypotony
C51,et labium cancer ad iurisprudentiam expectantia
G52,inordinatio autem nervus vagus
G52,inordinationem vagii
H35,retinae morbo ischemic
G57,Laesionem sciatic nervi
C56,ovarii maligna tumore
C31,cancer of sinus frontalis
C31,cancer sinu ethmoidalis
H02,paralytico: Confide lagophthalmos
G57,Laesionem plantaris lateralis
E71,carnitine uptake macula offeret
H43,"Vitreus, et tendebant ei"
N50,Spermatocele (inordinatio)
N43,Spermatocele (inordinatio)
I01,SEDITIOSUS Rheumatism
I00,SEDITIOSUS Rheumatism
Q43,CID-Mia / diluculo-impetu IBD
Q82,CID-Mia / diluculo-impetu IBD
D48,"Phyllodia tumore effundunt, benignae"
C71,cancer of temporalia lobus
C18,Colonia tumor malignum
D68,defectus Proaccelerin
J32,sphenoidale os sinusitis
E83,Cornus posterioris SYNDROME
Q87,"LANGER Giedion syndrome,"
D81,Lymphocyte T-defectus
G11,Crucem-McKusick syndrome
G72,QT quad diu syndrome genus VIII
I45,QT quad diu syndrome genus VIII
E30,Verum PRAECOQUIS pubertatem
E22,Verum PRAECOQUIS pubertatem
M21,BRUCK SYNDROME I; BRKS1
K00,Anodontia NOS (inventum)
G72,"Andersen, Tawil Domini High Definition"
G72,VII Long QT quad syndrome genus
B67,Echinococcosis de iecur
B85,Pthirus infectio pube
N18,"ren defectum, inveterata"
N18,renum defectum - inveterata
A83,Iaponica B ENCEPHALITIS
G93,benignae intracran. hypt.
D18,Hämangiom intracranialis
A83,Australia eNCEPHALITIS
C32,Humana malignas tumor Glottis
C22,hepatis Hemangiosarcoma
C72,cancer of nervorum cranialium
K83,"Cholangitis tonsilitis,"
K83,pus movendum cholangitis
C71,pulmonis cancer parietalis
H68,"otosalpingitis, inveterata"
B50,maligna febris tertiana
I09,Cor defectum ARTICULARIS
H05,facies orbitalis CYSTA (inordinatio)
C73,Neoplasma malignum in thyroideum
E56,defectus Vitaminum K
N32,Diverticulum de vesica
H18,Cornea Cogan dystrophy
B42,Hortorum Rose scriptor morbus
Q87,"Holt, ORAM hominis; HOS"
B69,Suilla infection
C85,De lymphoma Syphilinum
C92,Chloroma (in remissione)
Q61,I-loken SYNDROME MAIOR NATU
J15,peripleumonicis-gram negans
D44,"SUMMA, id # dualitatem"
Q21,facies auricularis ossis septal defect
H66,Media Inflammatio
K21,gastroesophageal refluxus
L60,totalis Onychodystrophy
G11,"Episodic ataxia, type I"
G11,Chant-Mertens Domini High Definition
H11,inordinationem conjunctivae
H10,inordinationem conjunctivae
Q50,Embrionario fimbrial CYSTA
D76,"Histiozytosis, caerulus"
D75,"Polycythemia, motus"
D75,"Polycythemia, secundarium"
H83,est internum aurem morbus
H80,est internum aurem morbus
Q92,"Potocki LUPSKI SYNDROME,"
I42,Receptor Cell Hamartoma
E83,"Hemochromatosis, V EXEMPLUM"
L90,Atrophoderma (inordinatio)
M48,traumatica apparet spondylopathy
B66,"Infectiones, Heterophyes"
I05,morbus of mitral valvae
C75,De cancer Hydrastis
C24,Vater in ampulla cancer
C38,Tumor pleurae Malignant
C69,Corneal maligna tumore
C74,Adrenal cortical parte corporis
E32,morbus est thymi
C69,telae conjunctivae
Q93,Musculus flexor Monosomía genus 3p
Q93,Genus 6p Monosomía hallucis longus
Q92,proximalis dup (XVI) (p11.2)
C69,Humana malignas tumor retinae
C69,per familiam retinoblastoma
Q93,15q26 deletionem syndrome
Q93,Monosomía 16p11.2 hallucis longus
I82,vein vena thrombosis
L71,Acne rosacea (inordinatio)
C00,labrum maligna tumore
Q13,"Axenfeld anomaliae Rieger,"
Q13,"Rieger syndrome, Type III"
F52,inhibuit muliebri orgasm
A18,Tuberculosis vesicae
C53,ceruicis ADENOCARCINOMA
C56,Ovarium inferum ADENOCARCINOMA
E88,Desolatus aliorum defectus COXUS
H61,morbus est auris externi
H60,morbus est auris externi
C34,cancer of pelagus tracheae
A81,Familia exitiale nocturnae vigiliae
A81,EXITIALIS rem domesticam nouerant Insomnia
A81,Insomnia rem domesticam nouerant exitiale
D35,Infundibulum Adenoma
Q87,X Noonan syndrome genus
G83,Diplegia superioris membra
C05,Humana malignas tumor Uvular
C74,cancer of glandulae
C74,Animal maligna tumore
K29,granulomatosae Gastritis
C53,ceruicis Carcinosarcoma
C69,Vesalius malignum
E27,Glandulae Morbositates
E83,ferrum cultro Africae
C49,Rhabdomyosarcoma type II
D07,Carcinoma in situ pene
D07,Queyrat Erythroplasie scriptor
D07,0 scaenam pene carcinoma
D00,Carcinoma in situ pene
D00,Queyrat Erythroplasie scriptor
D00,0 scaenam pene carcinoma
C43,collum malignorum melanoma
D01,Carcinoma in situ colonia
D01,Carcinoma in situ colonia
D01,0 scaenam colonia carcinoma
I49,IX genus Brugada Domini High Definition
I89,"CHYLOTHORAX, Congenita"
I89,"Hydropneumonia, congenita"
Q04,"GALLOWAY SYNDROME de Montealto,"
Q75,"Arkless Graham syndrome,"
Q24,Arteriae coronariae sinistrae anomalia
Q75,"Boyadjiev Jabs syndrome,"
C72,Cerebrum / tumor Medulla Theologiae Moralis Herm
L03,Paronychia inflammatione
B36,Alba piedra (inordinatio)
G90,"Sohar, Crisponi syndrome"
G11,occrebellaris ataxias
G24,rara dystonia (morbus)
E26,Bartter syndrome type I
E26,Bartter syndrome type II
E26,Bartter syndrome type III
D01,Carcinoma in situ iecur
D01,0 scaenam iecoris carcinoma
D01,Recto notatum Dysplasia
D01,Recto gravibus Dysplasia
F81,academic arte inordinatio
Q61,"Meckelius nervum alveolaris, type III"
Q61,"Meckelius nervum alveolaris, type IV"
Q61,"Meckelius nervum syndrome, Type I"
Q61,"Meckelius nervum alveolaris, EXEMPLUM II"
Q61,"Meckelius nervum alveolaris, V EXEMPLUM"
Q61,"Meckelius nervum alveolaris, VI EXEMPLUM"
E23,Hydrastis insufficientiam
H19,Keratitis: Dasypus
B60,Keratitis: Dasypus
G96,morbus nervosi centralis
D26,Tumor cervicis uteri
Q87,BARDET-II BIEDL SYNDROME
H35,LXXI retinitis pigmentosa
H35,XXXIX retinitis pigmentosa
H35,Retinitis pigmentosa LXXV
H35,LXXIII retinitis pigmentosa
H35,LXXII retinitis pigmentosa
H35,XXIV retinitis pigmentosa
H35,LXXIV retinitis pigmentosa
E79,V-Insecta Fluorouracil
E79,per familiam pyrimidinaemia
E79,"Pyrimidinemia, familiaris"
C07,cancer of parotidas eaque glandulae
C07,Humana malignas tumor Parotid
D09,Flat Cis ad vesicae
C71,Neoplasma naturae lobus occipitalis
C71,"lobus occipitalis tumorem,"
C06,cancer a buccal tunicae mucosae
C49,pleomorphes Liposarcoma
Q12,XXIX cataracta coralliformia
Q12,Cataractam praeterfluit Hutterite genus
Q12,XXX cataracta pulverulentum
H18,Cohors-informibus keratopathy
M89,Os morbo a elementum
A96,Sabia hemorrhagic febricitantem
Q13,"Rieger syndrome, Type I"
Q13,"Rieger syndrome, Type II"
M94,Chondropathy (inordinatio)
M91,Chondropathy (inordinatio)
G11,"Episodic ataxia, VII EXEMPLUM"
Q87,"Ure Baraitser syndrome,"
C54,Sanctissimi Corporis Domini SARCOMA Uteri
C54,Herpesvirus hominis ex vteri Corpus
Q80,bullous genus Ichthyosis
H35,LIII retinitis pigmentosa
N48,Peyronie Fibromatosis scriptor
Q12,ectopia lentis rem domesticam nouerant
J00,Nasopharyngitis - acutis
H93,"auditori ^ systematis morbo,"
H93,aurem morbus et processus mastoidei
G11,"Episodic ataxia, type IV"
C26,Splenic maligna tumore
Q87,Hiems syndrome-inermis Brunner
H91,Summus frequency surditas
H91,Auribus percipiens dampnum
H90,Summus frequency surditas
H90,Auribus percipiens dampnum
K04,pulpitis NOS (inordinatio)
F53,"Exanimationes incidamus, Post partum"
Q24,"congenita cor defectum,"
Q24,"Cordis congenita defectus,"
C22,Lupus Carcinoma Fibrolamellar
K82,morbus vesicae fellis;
C26,digestivorum cancer
G71,gamma-sarcoglycanopathy
G80,Athetoid cerebri paralyticus
G80,athetoid cerebri paralyticus
C57,Neoplasma malignum tubarum uterinarum tubo
C57,isque de tubarum uterinarum tubo
H35,XIX retinitis pigmentosa
H35,XXXII retinitis pigmentosa
H35,LIX retinitis pigmentosa
H35,XII retinitis pigmentosa
H35,LXVII retinitis pigmentosa
H35,XVIII retinitis pigmentosa
H35,XXXV retinitis pigmentosa
H35,XXVIII retinitis pigmentosa
H35,XXXIII retinitis pigmentosa
H35,LVIII retinitis pigmentosa
H35,LIV retinitis pigmentosa
H35,XLVII retinitis pigmentosa
H35,LV retinitis pigmentosa
H35,XXXVIII retinitis pigmentosa
H35,XXVI retinitis pigmentosa
H35,LXI retinitis pigmentosa
H35,LXVIII retinitis pigmentosa
H35,LVI retinitis pigmentosa
H35,XL retinitis pigmentosa
H04,"dacryoadenitis, inveterata"
J01,acutus ethmoidales sinusitis
J01,posterior sinu - acutis
A92,Venezuelan equinae febricitantem
P39,neonati CONIUNCTIVITIS
H10,purulentum CONIUNCTIVITIS
K83,morbus lignum viarum biliarium Malignant
H31,choroideae degenerations
J45,Allergic asthma forma
Q77,"Saldino Noonan syndrome,"
C54,Neoplasma malignum endometrium
Q04,I-Oligophrenin syndrome
A77,Bacillus subtilis subsp Septentrionalis Asian ricinum
D35,"Hydrastis Tumor, benignum"
G71,myosin repono myopathy
J45,exercitium-effecerunt suspiriosis
J45,Exercise adductus suspiriosis
I60,Haec habuimus rem domesticam nouerant baca
N32,morbus vesica urinaria
I49,Brugada syndrome type I
I49,Brugada syndrome type II
I49,Brugada syndrome type V
I49,Brugada syndrome type III
I49,Brugada syndrome type IV
I49,Brugada Domini High Definition VIII genus
I49,Brugada syndrome type VI
I49,Brugada syndrome genus VII
G71,beta-sarcoglycanopathy
J82,"Peripleumonicis, eosinophilic"
H00,infectis meibomian CYSTA
Q24,"OBSIDEO ET COR UNUM, Congenita"
H04,"dacryocystitis, inveterata"
Q87,II BRANCHIOOTIC SYNDROME
J13,Streptococcus pyogenes
D18,Cell Hämangiom adprehenderunt fusum
C38,Neoplasma malignum partium thoracis
D56,Alpha-major thalassemia
Q74,Macrodactylia (digitos)
G11,"Episodic ataxia, type III"
H35,XVII retinitis pigmentosa
H35,XXXVI retinitis pigmentosa
H35,XLV retinitis pigmentosa
H35,XIII retinitis pigmentosa
H35,XI retinitis pigmentosa
H35,XLVI retinitis pigmentosa
H35,XXX retinitis pigmentosa
H35,LVII retinitis pigmentosa
H35,XXIII retinitis pigmentosa
H35,LXIX retinitis pigmentosa
H35,LX retinitis pigmentosa
H35,XXXIV retinitis pigmentosa
H35,XV retinitis pigmentosa
Q80,lavandi raritate sectam Ichthyosis
C26,Neoplasma malignum rara digestivorum
G51,corporis geniculati ganglionitis
B48,Geotrichosis (inordinatio)
B35,Dermatophytosis de pede
M81,Osteoporosis idiopathic
K26,Ulceris accentus (inordinatio)
D15,Thymus vulgaris tumor Epithelial
C37,Thymus vulgaris tumor Epithelial
Q87,Neill syndrome-lie Dingwall
D45,Vera rubra Polycythemia
G31,Wilhemsen morbo Lynch-
D58,"RH-NOT NULL, REGULATOR EXEMPLUM"
G11,"Episodic ataxia, EXEMPLUM VIII"
G11,"Episodic ataxia, V EXEMPLUM"
G11,"Episodic ataxia, VI EXEMPLUM"
H35,XLI retinitis pigmentosa
H35,XLIX retinitis pigmentosa
H35,LXII retinitis pigmentosa
H35,XXIX retinitis pigmentosa
H35,XLIII retinitis pigmentosa
H35,XXV retinitis pigmentosa
H35,XIV retinitis pigmentosa
H35,XLVIII retinitis pigmentosa
H35,X retinitis pigmentosa
H35,LXIII retinitis pigmentosa
H35,XLII retinitis pigmentosa
H35,LXX retinitis pigmentosa
H35,XXXI retinitis pigmentosa
H35,L retinitis pigmentosa
H35,XXVII retinitis pigmentosa
H35,LXVI retinitis pigmentosa
Q81,"Oswald Cockayne syndrome Orff,"
E07,Glandula Morbositates
E00,Glandula Morbositates
E75,Xanthomatosis familiaria
D47,Malo tumore cellulis
C45,peritonaei mesothelioma
C45,peritonaeo accepta referri debet mesothelioma
I10,hypertension idiopathica
Q82,Et dens Nail syndrome
Q82,Dens-et-Nail Domini High Definition
B37,vaginal fermento infectio
Q80,"Ichthyosis, lamellae intertexta, III"
Q80,"Ichthyosis, lamellae intertexta, II"
Q80,"Ichthyosis, lamellae intertexta, IV"
Q93,Monosomía 22q11.2 hallucis longus
Q93,Shprintzenâ € ™ s syndrome
Q80,"Ichthyosis, lamellae intertexta, V"
H47,Nervus opticus caput drusen
H74,alioqui brutum habeatur ex media auris
Q60,"Renalis Coloboma syndrome,"
Q78,Typus II Achondrogenesis
M35,"Weber Christiano morbo,"
K74,viarum biliarium Malignant iecur CIRRHOSIS
H53,Cæcus macula area scotoma
H47,OEDEMA est discus opticus
H46,OEDEMA est discus opticus
C56,Carcinosarcoma de germine
C75,"CHEMODECTOMA, LAEVUS"
H35,XLIV retinitis pigmentosa
H35,XXII retinitis pigmentosa
H35,LI retinitis pigmentosa
H35,XXXVII retinitis pigmentosa
Q87,Pseudo-I syndrome INCENDIUM
Q56,fecundum eunuchus syndrome
F80,Morbi communicative
K05,De morbo periodontium
M14,neuropathic Arthropathia
Q04,A genus syndrome Labuschagne
H50,Brown scriptor syndrome vagina sua:
F20,"Kraepelin morbo Morellum negotiatorem,"
F20,"Kraepelin morbo Morellum negotiatorem,"
D69,"Porro Henoch Scholein purpura,"
C75,Neoplasma malignum Area uterinae
C75,telae colliculum
G90,Bernard syndrome Homer
G90,"Bernard, Domini High Definition Homer"
G51,"Oris resolutio nervorum, facial"
E13,Wolfram syndrome type I
E13,Wolfram syndrome type II
I27,morbus cardiopulmonary
I27,"pulmonis cor morbo,"
G11,"Nakamura Osame syndrome,"
E83,"Hypomagnesemia III, renalis"
E83,"HYPOMAGNESEMIA IV, renum"
E83,"HYPOMAGNESEMIA VI, renum"
E83,"HYPOMAGNESEMIA II, renum"
C55,Tabulae neryorum maligna tumore
D82,Helix alatum minus
F84,pueritia SCHIZOPHRENIA
F84,Paediatric sCHIZOPHRENIA
C96,Herpesvirus hominis Langerhans Cell
H04,neque satis amet lacrimam
N60,Fibroadenosis pectus Domini
N60,Solitarius a CYSTA pectus
J31,longis nasopharyngitis
J00,longis nasopharyngitis
M45,Maria morbo Strumpell
E83,"Hemochromatosis, type IV"
H35,Fundus vesicae SORSBY DYSTROPHIA
G11,Minus tumor GM2
E23,FSH desolatus aliorum defectus
H35,V $ sterbotten dystrophy
C49,musculus structuram cancer
E85,German genus amyloidosis
H35,"Goldmann Favre syndrome,"
L50,DERMOGRAPHISM familiaria
A98,Popularis Congensis hemorrhagic febricitantem
H40,GLAUCOMA tonus
H47,coloboma nervi optici
Q14,coloboma nervi optici
Q87,Et separabis Hollister syndrome
Q87,"DELECTUS, hollister SYNDROME"
Q81,gravibus communis RDEB
A75,Kedani febrem (inordinatio)
A75,mite ATTERRANEUS typhus LIQUET
A75,Bacillus subtilis subsp fruticum raritate praetexitur (inordinatio)
A98,Ebola hemorrhagic febricitantem
E72,Cystine morbo repono
I63,Cerebri INFARCTUS n
D75,per familiam erythrocytosis
H49,Incomitant parentum provocant dissociationem
Q70,"Syndactyly, mitten genus"
C49,"Fibrosarcoma, LAEVUS"
C49,Neoplasma malignum fibrosum TEXTUS
Q85,ty - duros nequeunt movere lumbos tuberosa
I45,Long QT syndrome type III
I45,QT quad diu syndrome genus IX
N47,Paraphimose (inordinatio)
H35,"Norrie Warburg syndrome,"
B83,Infectio per Toxascaris
K02,Odontoclasia (inordinatio)
H55,Oculus motus investigatione
C67,urethrae cancer ureteral
H44,Progressive princeps myopia
C51,et majora labium cancer
Q87,"Siderius Hamel syndrome,"
G24,torsionis purgatarum dystonia type II
G24,torsionis purgatarum dystonia type IV
A66,"Yaws gummata et iumentis ulcera,"
A66,Coepi laesiones yaws
K90,pancreaticum steatorrhoea
H40,longis simplex GLAUCOMA
N11,"pyelonephritis, inveterata"
Q78,Atelosteogenesis type III
F45,Polysomatising inordinatio
E07,Euthyroid male syndrome
E07,male euthyroid syndrome
Q73,Christiana brachydactyly
Q04,Labuschagne syndrome type IV
Q61,Labuschagne syndrome type IV
B45,"Buschke scriptor morbus Buza ascendit,"
B45,Europae Criptococosis
Q70,Cushing symphalangism scriptor
C52,Carcinoma in naturale eius debent
D81,Deficientia immunalis typus VIII
Q82,VII XERODERMA Pigmentosum
H35,"APPARITOR alveolaris, type III"
H35,"APPARITOR alveolaris, EXEMPLUM usores IJ"
H35,"APPARITOR alveolaris, EXEMPLUM IK,"
H35,Carl Orff syndrome type II
H35,Carl Orff syndrome genus spectandis circensibus
H35,"Carl Orff syndrome, genus 2C"
H35,Carl Orff syndrome genus IID
Q82,I XERODERMA pigmentosum
Q82,III XERODERMA Pigmentosum
Q82,IV XERODERMA Pigmentosum
Q82,V XERODERMA Pigmentosum
Q82,V XERODERMA pigmentosum
Q82,VI XERODERMA Pigmentosum
E07,"Male euthyroid syndrome,"
L98,Cutis morbus factitiis
E75,"Vogt, Spielmeyer Morbus"
H35,"Carl Orff syndrome, genus 1C"
H35,"APPARITOR alveolaris, IC EXEMPLUM"
H35,"Carl Orff syndrome, typus 1D"
H35,"APPARITOR alveolaris, id EXEMPLUM"
H35,"Carl Orff syndrome, genus 1F"
H35,"APPARITOR alveolaris, si EXEMPLUM"
H35,"Carl Orff syndrome, genus 1e"
H35,"APPARITOR alveolaris, type III"
H35,"APPARITOR alveolaris, EXEMPLUM IG"
E74,acidum defectus maltase
I60,"morbo, vascularium TEXTUS"
Q61,vellum medullare renibus cysticus
M25,Hemarthrosis antebrachii
Q87,"Anophthalmia Syndactyly,"
E23,IGHD naturali type II
E23,IGHD naturali type B
C67,Laterale vesicae parietem
B68,Bubulae infection
I89,Lymphangitis (inordinatio)
Q07,Asini blinking (inordinatio)
A48,Gas gangraena (inordinatio)
F82,progressus dyspraxia
E23,"Launois Cleret syndrome,"
Q22,Valva atresia
C47,perineurioma (inordinatio)
E16,Tumor Glucagon Cell
K00,agenesis rem domesticam nouerant dente
N03,classis V lupus NEPHRITIS
H04,Epiphora NOS (inordinatio)
B35,Tinea favosa (inordinatio)
D76,Morbi Erdheim fert vetustatem
F52,Non-organicum dyspareunia
L74,Hypohidrosis (inordinatio)
Q82,capillaria Malformations
Q82,Portus vinum macula Skin
Q82,Portus vinum macula Skin
M89,Maria morbo Bamberger
M89,Marcus morbo Bamberger
E67,genus D hypervitaminosis
Q87,Kabuki faciunt syndrome
Q87,Facere-usque syndrome Kabuki
Q87,"Niikawa Kuroki syndrome,"
G90,Multiple ratio ATROPHIA
G90,"Autonomica culpa, Pure"
G90,"Msa1, susceptibilitatem"
J84,peripleumonicis noninfectious
C18,sigmoid colonia cancer est
Q93,Monosomía 22q13 syndrome
B60,Infectio per microspora
B60,Parasite Plasmodium
H05,Enophthalmos (inordinatio)
D18,congenita lymphangioma
N25,"acidosis, renum tubulosae"
Q82,congenita poikiloderma
L74,gustandi hyperhidrosis
B79,Trichuriasis (inordinatio)
Q87,"Melnick syndrome Fraser,"
C65,Lupus Carcinoma renibus Pelvis
Q82,"Nonne Milroy Lymphedema,"
E22,"Frontinus syndrome Chiari,"
E75,"Spielmeyer morbo Vogt,"
Q78,multa ostechondromas
C84,CTCL / Angiospermae fungoides
C38,Cor enim malignus tumore
C10,carcinoma Oropharyngeal
M88,osseum scriptor morbus regulus Pagettus
D61,Pancytopenia (inordinatio)
I49,sinoatrial morbo nodi
G72,Inclusione corporis Myositis
L41,En Parapsoriasis TABULA
D22,nevus de Ota (inordinatio)
H61,De pinna Perichondritis
D47,Neoplasma malignum ossis medulla
E76,MPS I - illest fulminis syndrome
E76,ego Mucopolysaccharidosis
A96,Junin hemorrhagic febricitantem
H49,Canis Cytopathy
K11,Glandulae salivaris mucocele
D3A,Neoplasma malignum neuroendocrine
D47,per familiam thrombocytosis
D47,prima Thrombocythemia
D12,Familia pestis polyposis
Q87,"Smith, William syndrome"
C52,vaginae maligna tumore
G95,inordinationem de medulla spinalis
G71,"MYOPATHY, corpus sphaeroides"
M46,intervertebralis diskitis
E78,domesticam inopiam Portal
E78,mixta hyperglyceridemia
G12,"Werdnig Cornelius morbo,"
C33,Humana malignas tumor Trachea
D66,A Hemophilia (inordinatio)
Q87,Triticum aestivum Argentum-Cicero
Q87,"Cicero, argentum Domini High Definition"
Q87,Triticum aestivum argentum Cicero
Q87,"Triticum aestivum Cicero argentum,"
Q87,Russell ARGENTARIUM SYNDROME
B83,Infection brevis
E78,"Urbachâ € ""morbus Wiethe"
B35,De manu Dermatophytosis
